Membership No  Date Joined  Active  
    92611      2016-2-21    yes   
    97733      2019-11-6    yes   
    86258      2016-9-19    yes   
    88270      2016-10-4    no    
    12012      2017-11-15   yes   
    72924      2017-2-2     no    
    47568      2020-7-17    no    
    35473      2019-7-7     yes   
    25838      2018-5-2     no    
    48321      2017-8-25    yes   
    85919      2016-10-1    no    
    97989      2020-3-24    no    
    91252      2018-6-24    yes   
    23336      2015-11-22   no    
    67231      2016-8-10    yes   
    68005      2015-10-17   yes   
    61630      2020-1-24    yes   
    84834      2020-3-4     yes   
    65583      2020-4-25    no    
    13218      2020-11-8    no    
